year,population
1950,376325200
1951,382245303
1952,388538620
1953,395160091
1954,402077026
1955,409269055
1956,416728771
1957,424461108
1958,432481663
1959,440813896
1960,449480608
1961,458494963
1962,467852537
1963,477527970
1964,487484535
1965,497702365
1966,508161935
1967,518889779
1968,529967317
1969,541505076
1970,553578513
1971,566224812
1972,579411513
1973,593058926
1974,607050255
1975,621301720
1976,635771734
1977,650485030
1978,665502284
1979,680915804
1980,696783517
1981,713118032
1982,729868013
1983,746949067
1984,764245202
1985,781666671
1986,799181436
1987,816792741
1988,834489322
1989,852270034
1990,870133480
1991,888054875
1992,906021106
1993,924057817
1994,942204249
1995,960482795
1996,978893217
1997,997405318
1998,1015974042
1999,1034539214
2000,1053050912
2001,1071477855
2002,1089807112
2003,1108027848
2004,1126135777
2005,1144118674
2006,1161977719
2007,1179681239
2008,1197146906
2009,1214270132
2010,1230980691
2011,1247236029
2012,1263065852
2013,1278562207
2014,1293859294
2015,1309053980
2016,1324171354
2017,1339180127
2018,1354051854
2019,1368737513
2020,1383197753
2021,1397423009
2022,1411415296
2023,1425158481
2024,1438635367
2025,1451829004
2026,1464726099
2027,1477311590
2028,1489564612
2029,1501462374
2030,1512985207
2031,1524123804
2032,1534869174
2033,1545203584
2034,1555108108
2035,1564570223
2036,1573581733
2037,1582146821
2038,1590281887
2039,1598011486
2040,1605355574
2041,1612319846
2042,1618905536
2043,1625123097
2044,1630983670
2045,1636496308
2046,1641666866
2047,1646498484
2048,1650993654
2049,1655153372
2050,1658978162
2051,1662471555
2052,1665634474
2053,1668461495
2054,1670944584
2055,1673078321
2056,1674862507
2057,1676300456
2058,1677394788
2059,1678149384
2060,1678568111
2061,1678655989
2062,1678416452
2063,1677850625
2064,1676958866
2065,1675744291
2066,1674212113
2067,1672372856
2068,1670242036
2069,1667838579
2070,1665179391
2071,1662275880
2072,1659137008
2073,1655774546
2074,1652200108
2075,1648425091
2076,1644460392
2077,1640316937
2078,1636006071
2079,1631539153
2080,1626927002
2081,1622178968
2082,1617304175
2083,1612312579
2084,1607214022
2085,1602017424
2086,1596732383
2087,1591365736
2088,1585920202
2089,1580396453
2090,1574797201
2091,1569128520
2092,1563399451
2093,1557620765
2094,1551803731
2095,1545958898
2096,1540095658
2097,1534222029
2098,1528344549
2099,1522468414
2100,1516597380
